Nome,Sigla,Data,Dia_semana,Max_Dia,Min_Dia,Valor_abertura,Valor_fechamento,Volume_negociacao,Valor_Mercado
Litecoin,LTC,05/12/2017,Terça-feira,104.3030014038086,101.83999633789062,104.2770004272461,102.39700317382812,328726016.0,5544450235.06
Litecoin,LTC,06/12/2017,Quarta-feira,104.81800079345705,97.314697265625,102.47799682617188,100.35199737548828,547512000.0,5435639653.38
Litecoin,LTC,07/12/2017,Quinta-feira,101.34300231933594,92.27169799804688,99.98410034179688,98.29239654541016,645691008.0,5325979410.01
Litecoin,LTC,08/12/2017,Sexta-feira,133.07000732421875,95.39600372314452,98.3281021118164,124.84600067138672,1515559936.0,6767649864.74
Litecoin,LTC,09/12/2017,Sábado,171.55099487304688,126.58799743652344,127.47899627685548,155.24200439453125,2436539904.0,8417983191.51
Litecoin,LTC,10/12/2017,Domingo,155.6269989013672,130.16099548339844,155.6269989013672,148.66000366210938,1087340032.0,8063839922.05
Litecoin,LTC,11/12/2017,Segunda-feira,225.28700256347656,147.34100341796875,148.25799560546875,214.2030029296875,2913979904.0,11622977830.9
Litecoin,LTC,12/12/2017,Terça-feira,341.7239990234375,209.6820068359375,212.4640045166016,316.15899658203125,6961679872.0,17159753614.0
Litecoin,LTC,13/12/2017,Quarta-feira,341.7950134277344,287.4830017089844,315.36199951171875,302.6019897460937,3409789952.0,16428650864.7
Litecoin,LTC,14/12/2017,Quinta-feira,311.3190002441406,265.6570129394531,301.197998046875,279.3280029296875,2114880000.0,15169467973.4
Litecoin,LTC,15/12/2017,Sexta-feira,316.406005859375,251.2239990234375,280.9679870605469,299.77899169921875,2599940096.0,16284702204.8
Litecoin,LTC,16/12/2017,Sábado,309.9010009765625,290.1340026855469,299.3370056152344,298.97198486328125,1291379968.0,16245954060.1
Litecoin,LTC,17/12/2017,Domingo,332.5899963378906,301.78399658203125,301.78399658203125,318.718994140625,1703580032.0,17323822452.0
Litecoin,LTC,18/12/2017,Segunda-feira,360.9330139160156,302.0039978027344,318.9530029296875,358.33599853515625,1966599936.0,19482623740.8
Litecoin,LTC,19/12/2017,Terça-feira,375.2860107421875,335.67498779296875,359.125,350.25299072265625,2150479872.0,19047802998.3
Litecoin,LTC,20/12/2017,Quarta-feira,349.60400390625,308.62701416015625,349.60400390625,314.6210021972656,2104060032.0,17114472564.2
Litecoin,LTC,21/12/2017,Quinta-feira,339.739013671875,299.52899169921875,314.6600036621094,317.4620056152344,1555939968.0,17273490962.7
Litecoin,LTC,22/12/2017,Sexta-feira,320.302001953125,187.4770050048828,319.2569885253906,264.9320068359375,2938040064.0,14419250801.7
Litecoin,LTC,23/12/2017,Sábado,312.6679992675781,261.6369934082031,269.2669982910156,288.2659912109375,1352579968.0,15693563722.8
Litecoin,LTC,24/12/2017,Domingo,291.00799560546875,251.0379943847656,291.00799560546875,275.9800109863281,1122909952.0,15028955416.6
Litecoin,LTC,25/12/2017,Segunda-feira,286.7900085449219,269.572998046875,277.4939880371094,273.3900146484375,804377024.0,14891746902.0
Litecoin,LTC,26/12/2017,Terça-feira,289.510986328125,272.2619934082031,273.1080017089844,286.5039978027344,842993024.0,15610545231.1
Litecoin,LTC,27/12/2017,Quarta-feira,290.9440002441406,264.4230041503906,286.5889892578125,272.17401123046875,777137984.0,14833811827.9
Litecoin,LTC,28/12/2017,Quinta-feira,273.177001953125,231.3769989013672,272.1260070800781,249.92999267578125,2593240064.0,13625185917.7
Litecoin,LTC,29/12/2017,Sexta-feira,258.0409851074219,238.3329925537109,250.3520050048828,245.5019989013672,1392210048.0,13387459288.5
Litecoin,LTC,30/12/2017,Sábado,245.43299865722656,208.19700622558597,245.0870056152344,218.96299743652344,943667008.0,11943513790.6
Litecoin,LTC,31/12/2017,Domingo,237.7910003662109,213.81100463867188,216.9750061035156,232.0959930419922,771041984.0,12663194466.7
Litecoin,LTC,01/01/2018,Segunda-feira,236.63400268554688,222.2030029296875,231.6660003662109,229.0330047607422,633142016.0,12499214454.4
Litecoin,LTC,02/01/2018,Terça-feira,263.625,228.9900054931641,228.9900054931641,255.6840057373047,1237949952.0,13957197179.3
Litecoin,LTC,03/01/2018,Quarta-feira,260.74200439453125,243.13499450683597,255.69500732421875,245.3679962158203,3215280128.0,13397610073.3
Litecoin,LTC,04/01/2018,Quinta-feira,245.4750061035156,227.01300048828125,245.4750061035156,241.3699951171875,3481550080.0,13183094319.7
Litecoin,LTC,05/01/2018,Sexta-feira,256.14801025390625,237.8800048828125,241.03399658203125,249.27099609375,1710599936.0,13618156609.0
Litecoin,LTC,06/01/2018,Sábado,323.114990234375,249.4149932861328,249.76800537109372,296.4540100097656,2264740096.0,16200057346.4
Litecoin,LTC,07/01/2018,Domingo,305.5270080566406,281.927001953125,296.0530090332031,288.45098876953125,1055400000.0,15766532096.1
Litecoin,LTC,08/01/2018,Segunda-feira,289.0690002441406,237.6649932861328,287.7250061035156,255.76300048828125,1182080000.0,13983422101.3
Litecoin,LTC,09/01/2018,Terça-feira,258.50299072265625,240.1840057373047,254.6060028076172,247.03700256347656,940825024.0,13509671201.7
Litecoin,LTC,10/01/2018,Quarta-feira,251.0540008544922,233.85899353027344,248.072998046875,250.51800537109372,1009910016.0,13703530794.0
Litecoin,LTC,11/01/2018,Quinta-feira,255.04800415039065,223.0030059814453,251.52200317382807,229.36599731445312,1079389952.0,12549854306.5
Litecoin,LTC,12/01/2018,Sexta-feira,243.5919952392578,224.8209991455078,229.78700256347656,236.8560028076172,691160000.0,12962893955.1
Litecoin,LTC,13/01/2018,Sábado,263.19500732421875,236.8820037841797,236.8820037841797,259.1929931640625,961043008.0,14189082270.1
Litecoin,LTC,14/01/2018,Domingo,270.8519897460937,234.27200317382807,260.5790100097656,238.6750030517578,886414976.0,13069624171.6
Litecoin,LTC,15/01/2018,Segunda-feira,245.0039978027344,232.7740020751953,237.28900146484372,232.7740020751953,601769984.0,12749749657.9
Litecoin,LTC,16/01/2018,Terça-feira,232.81700134277344,152.29299926757812,232.81700134277344,188.33099365234372,1405069952.0,10318360404.2
Litecoin,LTC,17/01/2018,Quarta-feira,197.7899932861328,141.0070037841797,190.1450042724609,186.51600646972656,1422489984.0,10221726463.8
Litecoin,LTC,18/01/2018,Quinta-feira,207.01600646972656,176.8300018310547,186.94900512695312,192.8370056152344,936784000.0,10570969163.8
Litecoin,LTC,19/01/2018,Sexta-feira,202.0749969482422,186.93800354003903,191.19200134277344,192.9640045166016,560284032.0,10580777288.9
Litecoin,LTC,20/01/2018,Sábado,214.58799743652344,194.3780059814453,194.3780059814453,211.01800537109372,540785984.0,11573785098.2
Litecoin,LTC,21/01/2018,Domingo,211.2350006103516,184.6360015869141,211.2350006103516,190.42100524902344,463516000.0,10446773723.0
Litecoin,LTC,22/01/2018,Segunda-feira,195.2460021972656,166.88299560546875,191.7899932861328,180.00799560546875,494091008.0,9878115975.43
Litecoin,LTC,23/01/2018,Terça-feira,186.30599975585935,165.7259979248047,180.2790069580078,177.8070068359375,441764992.0,9759876576.61
